id,street,street_type,zip,address,latitude,longitude
3713,Cesar Chavez,St,94110,"3713 Cesar Chavez, San Francisco, CA 94110, USA",37.747821,-122.422912
1274,23rd,Ave,94122,"1274 23rd Ave, San Francisco, CA 94122, USA",37.763877,-122.481115
425,Fillmore,St,94117,"425 Fillmore St, San Francisco, CA 94117, USA",37.773399,-122.431022
174,15th,Ave,94118,"174 15th Ave, San Francisco, CA 94118, USA",37.7848757,-122.4743003
519,Gennessee,St,94127,"519 Gennessee St, San Francisco, CA 94127, USA",37.732651,-122.451433
3563,Jackson,St,94118,"3563 Jackson St, San Francisco, CA 94118, USA",37.7900633,-122.4536135
646,Shotwell,St,94110,"646 Shotwell St, San Francisco, CA 94110, USA",37.758034,-122.416021
220,8th,Ave,94118,"220 8th Ave, San Francisco, CA 94118, USA",37.784305,-122.466339
4167,17th,St,94117,"4167 17th St, San Francisco, CA 94114, USA",37.76204,-122.438805
349,Connecticut,St,94107,"349 Connecticut St, San Francisco, CA 94107, USA",37.761865,-122.397117
834,31st,Ave,94121,"834 31st Ave, San Francisco, CA 94121, USA",37.773469,-122.490372
423,Faxon,Ave,94112,"423 Faxon Ave, San Francisco, CA 94112, USA",37.722294,-122.460541
220,Downey,St,94117,"220 Downey St, San Francisco, CA 94117, USA",37.765055,-122.446563
3341,20th,St,94110,"3341 20th St, San Francisco, CA 94110, USA",37.7588377,-122.4155587
1301,Douglass,St,94131,"1301 Douglass St, San Francisco, CA 94131, USA",37.746014,-122.437834
845,Guerrero,St,94110,"845 Guerrero St, San Francisco, CA 94110, USA",37.757709,-122.42316
62,Girard,St,94134,"62 Girard St, San Francisco, CA 94134, USA",37.731269,-122.406536
769,20th,St,94121,"769 20th Ave, San Francisco, CA 94121, USA",37.7734094,-122.4789079
1740,Page,St,94117,"1740 Page St, San Francisco, CA 94117, USA",37.770645,-122.4494787
1515,Thomas,Ave,94124,"1515 Thomas Ave, San Francisco, CA 94124, USA",37.729341,-122.389938
75,Oneida,Ave,94112,"75 Oneida Ave, San Francisco, CA 94112, USA",37.720542,-122.440078
830,Hayes,St,94117,"830 Hayes St, San Francisco, CA 94117, USA",37.776251,-122.43018
3995,24th,St,94114,"3995 24th St, San Francisco, CA 94114, USA",37.7514435,-122.4317554
3902,Folsom,St,94110,"3902 Folsom St, San Francisco, CA 94110, USA",37.738184,-122.4133894
503,34th,Ave,94121,"503 34th Ave, San Francisco, CA 94121, USA",37.7795502,-122.4944152
1485,Yosemite,Ave,94124,"1485 Yosemite Ave, San Francisco, CA 94124, USA",37.725296,-122.389766
190,Tiffany,Ave,94110,"190 Tiffany Ave, San Francisco, CA 94110, USA",37.744251,-122.422045
800,Excelsior,Ave,94112,"800 Excelsior Ave, San Francisco, CA 94112, USA",37.722978,-122.427074
886,Fell,St,94117,"886 Fell St, San Francisco, CA 94117, USA",37.774956,-122.432426
838,Page,St,94117,"838 Page St, San Francisco, CA 94117, USA",37.772812,-122.434671
400,36th,Ave,94121,"400 36th Ave, San Francisco, CA 94121, USA",37.781317,-122.496385
2351,Cecilia,Ave,94116,"2351 Cecilia Ave, San Francisco, CA 94116, USA",37.7441169,-122.4723026
1775,Beach,St,94123,"1775 Beach St, San Francisco, CA 94123, USA",37.804005,-122.438449
216,Saint Charles,Ave,94132,"216 St Charles Ave, San Francisco, CA 94132, USA",37.710054,-122.46956
2198,Oakdale,Ave,94124,"2198 Oakdale Ave, San Francisco, CA 94124, USA",37.740995,-122.401172
54,Alma,St,94117,"54 Alma St, San Francisco, CA 94117, USA",37.7632618,-122.4490027
301,Carl,St,94117,"301 Carl St, San Francisco, CA 94117, USA",37.764984,-122.45456
1551,Sacramento,St,94109,"1551 Sacramento St, San Francisco, CA 94109, USA",37.791559,-122.418351
735,Harrison,St,94107,"735 Harrison St, San Francisco, CA 94107, USA",37.781454,-122.398111
1565,Kirkwood,Ave,94124,"1565 Kirkwood Ave, San Francisco, CA 94124, USA",37.737468,-122.389213
484,Country Club,Dr,94132,"484 Country Club Dr, San Francisco, CA 94132, USA",37.730464,-122.494788
2231,43rd,Ave,94116,"2231 43rd Ave, San Francisco, CA 94116, USA",37.745011,-122.501952
223,Waller,St,94102,"223 Waller St, San Francisco, CA 94102, USA",37.771324,-122.427404
1007,Clayton,St,94117,"1007 Clayton St, San Francisco, CA 94117, USA",37.763733,-122.4472585
